id,sex,grade,school,condition,status,hnf_total,score_hearts,time_seconds_hearts,score_flowers,time_seconds_flowers,score_heart_flowers,time_seconds_heart_flowers,total_time,pregunta_1,pregunta_1_time,pregunta_2,pregunta_2_time,pregunta_3,pregunta_3_time,pregunta_4,pregunta_4_time,pregunta_5,pregunta_5_time,pregunta_6,pregunta_6_time,pregunta_7,pregunta_7_time,pregunta_8,pregunta_8_time,pregunta_9,pregunta_9_time,pregunta_10,pregunta_10_time,pregunta_11,pregunta_11_time,pregunta_12,pregunta_12_time,pregunta_13,pregunta_13_time,pregunta_14,pregunta_14_time,pregunta_15,pregunta_15_time,pregunta_16,pregunta_16_time,pregunta_17,pregunta_17_time,pregunta_18,pregunta_18_time,pregunta_19,pregunta_19_time,pregunta_20,pregunta_20_time,pregunta_21,pregunta_21_time,pregunta_22,pregunta_22_time,pregunta_23,pregunta_23_time,pregunta_24,pregunta_24_time,pregunta_25,pregunta_25_time,pregunta_26,pregunta_26_time,pregunta_27,pregunta_27_time,pregunta_28,pregunta_28_time,pregunta_29,pregunta_29_time,pregunta_30,pregunta_30_time,pregunta_31,pregunta_31_time,pregunta_32,pregunta_32_time,pregunta_33,pregunta_33_time,pregunta_34,pregunta_34_time,pregunta_35,pregunta_35_time,pregunta_36,pregunta_36_time,pregunta_37,pregunta_37_time,pregunta_38,pregunta_38_time,pregunta_39,pregunta_39_time,pregunta_40,pregunta_40_time,pregunta_41,pregunta_41_time,pregunta_42,pregunta_42_time,pregunta_43,pregunta_43_time,pregunta_44,pregunta_44_time,pregunta_45,pregunta_45_time,pregunta_46,pregunta_46_time,pregunta_47,pregunta_47_time,pregunta_48,pregunta_48_time,pregunta_49,pregunta_49_time,pregunta_50,pregunta_50_time,pregunta_51,pregunta_51_time,pregunta_52,pregunta_52_time,pregunta_53,pregunta_53_time,pregunta_54,pregunta_54_time,pregunta_55,pregunta_55_time,pregunta_56,pregunta_56_time,pregunta_57,pregunta_57_time,pregunta_58,pregunta_58_time,pregunta_59,pregunta_59_time,pregunta_60,pregunta_60_time,pregunta_61,pregunta_61_time,pregunta_62,pregunta_62_time,pregunta_63,pregunta_63_time,pregunta_64,pregunta_64_time,pregunta_65,pregunta_65_time,pregunta_66,pregunta_66_time,pregunta_67,pregunta_67_time,pregunta_68,pregunta_68_time,pregunta_69,pregunta_69_time
ctl511,F,fifth,school4,control_1,participant,53,12,9.962000000000002,12,10.924000000000001,29,41.74200000000001,62.628000000000014,1,0,1,0,1,0,1,0,1,0,1,0,1,0.801,1,0.736,1,0.829,1,0.92,1,0.889,1,0.888,1,0.8,1,0.771,1,0.828,1,0.771,1,0.835,1,0.894,1,0,1,0,1,0,1,0,1,0,1,0,1,0.829,1,0.938,1,0.879,1,0.832,1,0.858,1,0.881,1,0.831,1,0.957,1,0.92,1,0.895,1,1.108,1,0.996,1,1.382,1,1.154,1,1.007,0,2,1,1.339,1,1.644,1,1.26,1,1.489,0,2,1,0.496,1,1.041,1,1.445,1,0.996,1,1.231,1,1.094,1,1.139,0,1.423,1,1.177,1,1.103,0,1.346,1,1.185,1,1.076,1,1.367,1,1.322,1,1.738,1,1.104,1,1.459,1,1.271,1,1.185,1,1.167,1,1.07,1,1.14,1,0.892
ctl512,F,fifth,school4,control_1,participant,35,2,11.742999999999999,5,13.375999999999998,28,37.021,62.14,1,0,1,0,1,0,1,0,1,0,1,0,1,1.026,0,1.079,0,0.907,0,0.843,0,0.964,0,0.831,0,0.771,0,0.867,0,0.902,0,1.154,0,2,1,0.399,1,0,1,0,1,0,1,0,1,0,1,0,0,1.136,0,2,0,0.276,1,1.025,1,1.145,0,2,0,1.106,0,0.735,1,1.113,1,1.1,1,0.821,0,0.919,0,2,0,2,1,1.063,1,0.857,1,1.469,1,1.155,1,1.037,1,0.927,1,1.082,1,1.024,1,0.932,1,1.006,1,0.934,1,1.161,0,2,0,0.471,0,2,1,0.459,1,0.912,1,1.034,1,1.32,1,0.822,1,0.962,1,1.022,1,0.911,1,0.934,1,1.072,1,1.316,1,0.966,1,1.009,1,1.119,1,1.066,1,0.979
ctl513,F,fifth,school4,control_1,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctl514,M,fifth,school4,control_1,participant,53,12,8.366999999999999,12,9.259000000000002,29,31.709000000000003,49.33500000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0.973,1,0.692,1,0.67,1,0.665,1,0.647,1,0.61,1,0.657,1,0.709,1,0.664,1,0.701,1,0.679,1,0.7,1,0,1,0,1,0,1,0,1,0,1,0,1,0.803,1,1.003,1,0.911,1,0.773,1,0.834,1,0.762,1,0.653,1,0.779,1,0.642,1,0.79,1,0.665,1,0.644,1,0.878,1,0.982,0,0.976,1,0.792,1,0.762,0,0.663,1,0.945,1,1.025,1,0.966,1,0.814,1,0.897,1,0.831,1,0.77,1,0.887,1,0.944,1,0.852,1,1.009,1,0.962,1,0.692,0,0.661,1,1.052,1,0.79,1,0.942,0,2,1,0.93,1,0.945,1,1.524,1,1.88,1,1.063,1,0.766,1,0.905,1,0.742,1,0.862
ctl515,M,fifth,school4,control_1,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctl516,F,fifth,school4,control_1,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctl517,M,fifth,school4,control_1,rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctl518,M,fifth,school4,control_1,participant,55,12,10.489,11,11.032,32,35.980999999999995,57.501999999999995,1,0,1,0,1,0,1,0,1,0,1,0,1,0.821,1,0.824,1,0.733,1,1.04,1,0.939,1,0.829,1,0.969,1,0.962,1,0.886,1,0.83,1,0.861,1,0.795,1,0,1,0,1,0,1,0,1,0,1,0,1,1.243,1,0.856,1,0.825,1,0.932,1,1.031,1,0.929,1,0.77,0,0.8,1,0.89,1,0.854,1,0.96,1,0.942,1,1.344,0,2,1,1.046,1,1.092,1,1.389,1,1.234,1,0.916,1,1.113,1,0.959,1,1.07,1,1.124,1,1.059,1,1.061,1,1.115,1,1.072,1,0.983,1,1.205,1,1.092,1,1.085,1,1.027,1,1.231,1,1.045,1,1.099,1,1.039,1,0.906,1,0.959,1,1.005,1,1.087,1,0.983,1,0.801,1,0.998,1,0.853,1,0.989
ctl519,M,fifth,school4,control_1,participant,51,11,14.911,12,11.666,27,43.989,70.566,1,0,1,0,1,0,1,0,1,0,1,0,1,1.994,0,1.718,1,1.292,1,0.414,1,0.753,1,0.857,1,1.173,1,1.618,1,0.814,1,1.934,1,0.682,1,1.662,1,0,1,0,1,0,1,0,1,0,1,0,1,1.271,1,0.451,1,1.46,1,1.786,1,1.334,1,0.88,1,1.58,1,1.403,1,1.076,1,1.02,1,0.405,0,0.4,1,1.95,1,1.86,1,1.36,1,1.284,1,1.588,1,0.647,1,1.735,1,0.985,1,1.132,1,0.557,1,1.518,1,1.912,0,1.181,1,1.524,1,1.555,1,1.088,1,1.623,0,0.214,1,1.183,1,0.893,1,1.962,1,1.74,1,0.464,1,1.518,0,0.69,1,0.491,1,1.157,1,0.737,1,1.158,1,1.664,0,0.456,1,1.91,1,1.853
ctl520,F,fifth,school4,control_1,participant,39,12,9.900000000000002,12,12.267999999999999,15,33.367,55.535,1,0,1,0,1,0,1,0,1,0,1,0,1,0.86,1,0.855,1,0.78,1,0.792,1,0.735,1,0.764,1,0.752,1,0.809,1,0.961,1,0.885,1,0.88,1,0.827,1,0,1,0,1,0,1,0,1,0,1,0,1,1.29,1,0.878,1,0.934,1,0.979,1,1.031,1,0.88,1,0.939,1,1.048,1,1.16,1,1.11,1,0.961,1,1.058,0,2,0,2,1,1.262,1,1.34,0,0.899,0,0.783,0,0.953,1,0.964,0,0.772,0,0.92,1,0.745,0,2,1,0.994,0,0.8,1,0.771,0,0.875,0,0.884,0,0.921,1,0.987,1,0.755,0,0.794,1,0.711,0,0.759,1,0.843,1,1.04,1,0.754,0,1.048,1,0.932,1,1.008,1,0.939,0,0.887,0,0.976,0,1.051
