"id","sex","grade","school","class_id","condition","status","total_points","fwd_att","bwd_att"
"dig532","M","fifth","school2","school2_fifth","digital","rejected",6,1,0
"dig533","M","fifth","school2","school2_fifth","digital","participant",16,1,2
"dig534","F","fifth","school2","school2_fifth","digital","drop-out",NA,NA,NA
"digk01","M","kinder","school2","school2_kinder","digital","participant",3,2,0
"digk02","F","kinder","school2","school2_kinder","digital","participant",5,1,0
"digk03","F","kinder","school2","school2_kinder","digital","atypical",2,1,0
"digk04","M","kinder","school2","school2_kinder","digital","participant",5,1,0
"digk05","F","kinder","school2","school2_kinder","digital","participant",3,1,0
"digk06","F","kinder","school2","school2_kinder","digital","rejected",NA,NA,NA
"digk07","M","kinder","school2","school2_kinder","digital","participant",5,2,0
"digk08","F","kinder","school2","school2_kinder","digital","participant",3,1,0
"digk09","F","kinder","school2","school2_kinder","digital","participant",6,1,0
"digk10","F","kinder","school2","school2_kinder","digital","participant",4,1,0
"digk11","M","kinder","school2","school2_kinder","digital","participant",3,1,0
"digk12","F","kinder","school2","school2_kinder","digital","participant",5,1,0
"digk13","M","kinder","school2","school2_kinder","digital","participant",3,1,0
"digk14","M","kinder","school2","school2_kinder","digital","participant",4,2,0
"digk15","F","kinder","school2","school2_kinder","digital","participant",6,1,0
"digk16","M","kinder","school2","school2_kinder","digital","participant",6,1,0
"digk17","F","kinder","school2","school2_kinder","digital","participant",3,1,0
"digk18","M","kinder","school2","school2_kinder","digital","participant",4,1,0
"digk19","M","kinder","school2","school2_kinder","digital","participant",2,3,0
"digk20","F","kinder","school2","school2_kinder","digital","participant",6,1,0
"digk21","M","kinder","school2","school2_kinder","digital","atypical",2,1,0
"digk22","F","kinder","school2","school2_kinder","digital","participant",6,1,0
"digk23","M","kinder","school2","school2_kinder","digital","participant",2,2,0
"mix501","M","fifth","school3","school3_fifth","mixed","participant",16,1,1
"mix502","F","fifth","school3","school3_fifth","mixed","participant",7,1,0
"mix503","F","fifth","school3","school3_fifth","mixed","participant",5,3,0
"mix504","F","fifth","school3","school3_fifth","mixed","participant",7,1,0
"mix505","F","fifth","school3","school3_fifth","mixed","participant",12,1,1
"mix506","M","fifth","school3","school3_fifth","mixed","rejected",NA,NA,NA
"mix507","M","fifth","school3","school3_fifth","mixed","participant",6,1,0
