"id","sex","grade","school","class_id","condition","status","hnf_total","score_hearts","time_seconds_hearts","score_flowers","time_seconds_flowers","score_heart_flowers","time_seconds_heart_flowers","total_time","pregunta_7","pregunta_7_time","pregunta_8","pregunta_8_time","pregunta_9","pregunta_9_time","pregunta_10","pregunta_10_time","pregunta_11","pregunta_11_time","pregunta_12","pregunta_12_time","pregunta_13","pregunta_13_time","pregunta_14","pregunta_14_time","pregunta_15","pregunta_15_time","pregunta_16","pregunta_16_time","pregunta_17","pregunta_17_time","pregunta_18","pregunta_18_time","pregunta_25","pregunta_25_time","pregunta_26","pregunta_26_time","pregunta_27","pregunta_27_time","pregunta_28","pregunta_28_time","pregunta_29","pregunta_29_time","pregunta_30","pregunta_30_time","pregunta_31","pregunta_31_time","pregunta_32","pregunta_32_time","pregunta_33","pregunta_33_time","pregunta_34","pregunta_34_time","pregunta_35","pregunta_35_time","pregunta_36","pregunta_36_time","pregunta_37","pregunta_37_time","pregunta_38","pregunta_38_time","pregunta_39","pregunta_39_time","pregunta_40","pregunta_40_time","pregunta_41","pregunta_41_time","pregunta_42","pregunta_42_time","pregunta_43","pregunta_43_time","pregunta_44","pregunta_44_time","pregunta_45","pregunta_45_time","pregunta_46","pregunta_46_time","pregunta_47","pregunta_47_time","pregunta_48","pregunta_48_time","pregunta_49","pregunta_49_time","pregunta_50","pregunta_50_time","pregunta_51","pregunta_51_time","pregunta_52","pregunta_52_time","pregunta_53","pregunta_53_time","pregunta_54","pregunta_54_time","pregunta_55","pregunta_55_time","pregunta_56","pregunta_56_time","pregunta_57","pregunta_57_time","pregunta_58","pregunta_58_time","pregunta_59","pregunta_59_time","pregunta_60","pregunta_60_time","pregunta_61","pregunta_61_time","pregunta_62","pregunta_62_time","pregunta_63","pregunta_63_time","pregunta_64","pregunta_64_time","pregunta_65","pregunta_65_time","pregunta_66","pregunta_66_time","pregunta_67","pregunta_67_time","pregunta_68","pregunta_68_time","pregunta_69","pregunta_69_time","nih_score_hearts","nih_score_flowers","nih_score_mixed","nih_score_overall","nih_score_overall_57","ies_hearts","ies_flowers","ies_mixed","ies_overall","acc_prop_hearts","acc_prop_flowers","acc_prop_mixed","acc_prop_overall","rt_mean_hearts","rt_mean_flowers","rt_mean_mixed","rt_mean_overall","rt_sd_hearts","rt_sd_flowers","rt_sd_mixed","rt_sd_overall"
"ctl511","F","fifth","school4","school4_fifth","control_1","participant",54,11,9475,12,11830,31,39245,60550,1,867,1,711,1,822,1,825,1,758,1,716,1,912,1,849,1,907,0,364,1,890,1,854,1,1729,1,1501,1,778,1,1094,1,856,1,936,1,790,1,798,1,831,1,910,1,783,1,824,1,1345,1,1056,1,1030,1,1269,1,1177,1,1050,1,1174,1,992,1,1076,1,954,1,1349,1,895,1,1135,1,1423,1,1100,1,1340,1,1382,1,1224,1,1387,1,1187,1,1063,1,1122,1,1052,1,1264,0,2000,0,332,1,1445,1,1783,1,1076,1,1171,1,1012,1,1052,1,1328,8.10587194138305,8.54067520628443,7.32219428824208,7.98958047863652,7.66111624012811,903.570247933884,985.833333333333,1267.56399583767,1052.32252570163,0.916666666666667,1,0.939393939393939,0.947368421052632,789.583333333333,985.833333333333,1189.24242424242,1062.28070175439,150.315703125324,310.807696562399,274.77957419346,305.360252955772
"ctl512","F","fifth","school4","school4_fifth","control_1","participant",45,12,10000,7,16851,26,44680,71531,1,679,1,822,1,723,1,786,1,816,1,801,1,1040,1,812,1,896,1,804,1,814,1,1007,1,989,1,1861,1,1091,1,1133,1,1571,1,1531,1,827,0,745,0,1121,0,2000,0,2000,0,1982,0,2000,0,1499,1,875,1,1570,1,1469,0,1800,0,2000,1,750,1,1783,0,2000,1,1550,1,1980,1,814,0,1492,1,1369,1,1084,1,1394,1,1185,1,1317,1,1208,1,1102,1,1123,1,951,1,1170,0,1134,1,1156,1,1876,1,1079,1,1236,1,1033,1,1350,1,1051,1,1280,8.64344790839851,2.91666666666667,3.93939393939394,5.16650283815304,3.94736842105263,833.333333333333,2204.81632653061,1598.98668639053,1545.71211541816,1,0.583333333333333,0.787878787878788,0.789473684210526,833.333333333333,1404.25,1353.93939393939,1254.9298245614,103.657945652852,475.61598814781,359.691007966729,411.238801829698
"ctl513","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl514","M","fifth","school4","school4_fifth","control_1","participant",54,11,8668,12,10367,31,31196,50231,1,779,1,741,1,735,1,688,1,706,1,611,1,641,1,820,1,580,1,938,0,726,1,703,1,764,1,739,1,757,1,724,1,841,1,786,1,679,1,1115,1,805,1,932,1,1119,1,1106,1,1403,1,1237,0,747,1,892,1,796,1,995,1,1340,1,1111,1,1191,1,952,1,1109,1,960,1,815,1,910,1,967,1,1125,1,874,1,732,1,801,1,692,1,898,1,913,1,700,1,931,1,914,1,961,1,873,0,755,1,896,1,798,1,994,1,857,1,1057,8.62057258057535,8.70417107505029,8.0136453351014,8.44612966357568,8.17999242556736,787.636363636364,863.916666666667,1019.66909469303,890.407374998686,0.916666666666667,1,0.939393939393939,0.947368421052632,722.333333333333,863.916666666667,945.333333333333,881.245614035088,95.7613827398207,162.985475277753,174.268411270278,179.636665114987
"ctl515","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl516","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl517","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl518","M","fifth","school4","school4_fifth","control_1","participant",56,12,9882,12,11288,32,35382,56552,1,744,1,1187,1,753,1,699,1,730,1,714,1,710,1,880,1,999,1,874,1,813,1,779,1,985,1,850,1,865,1,840,1,866,1,968,1,905,1,1215,1,1065,1,826,1,797,1,1106,1,1087,1,917,1,852,1,1482,1,998,1,962,1,1023,1,967,1,977,1,1093,1,974,1,835,1,1152,1,1049,1,1094,1,1066,1,855,1,910,0,841,1,1070,1,1068,1,1089,1,1093,1,976,1,1017,1,1081,1,1216,1,1829,1,1369,1,1213,1,1157,1,1050,1,1020,8.80962238892986,8.40507509903956,7.75688849621617,8.32386199472853,8.03154734240025,823.5,940.666666666667,1113.1376953125,959.101453993056,1,1,0.96969696969697,0.982456140350877,823.5,940.666666666667,1072.18181818182,992.140350877193,144.967394453185,129.853297177541,194.172354904324,198.549781324887
"ctl519","M","fifth","school4","school4_fifth","control_1","participant",51,12,11611,12,12588,27,43337,67536,1,757,1,995,1,891,1,790,1,1508,1,1020,1,1010,1,928,1,878,1,917,1,880,1,1037,1,1650,1,879,1,886,1,851,1,1171,1,990,1,1011,1,1070,1,986,1,992,1,996,1,1106,1,1162,1,1222,1,1246,1,1381,1,1197,1,899,0,2000,1,1684,1,1483,1,1102,1,1046,1,1062,1,1190,1,1211,0,1091,1,1789,1,1374,0,2000,1,1499,1,1176,0,1521,0,2000,0,1011,1,1448,1,1221,1,1138,1,1010,1,1150,1,931,1,929,1,1782,1,1226,1,1156,8.29084403344505,8.08252971440855,6.65485218112789,7.67607530966049,7.35061512089695,967.583333333333,1049,1526.14814814815,1180.91049382716,1,1,0.818181818181818,0.894736842105263,967.583333333333,1049,1313.24242424242,1184.84210526316,191.580725132839,210.928682475639,316.252572153871,311.263254994505
"ctl520","F","fifth","school4","school4_fifth","control_1","participant",51,12,14108,12,13630,27,46088,73826,1,1252,1,1118,1,1090,1,1399,1,952,1,1053,1,1672,1,1141,1,1082,1,1088,1,1112,1,1149,1,1132,1,1091,1,992,1,992,1,1024,1,985,1,959,1,1453,1,1338,1,1415,1,1052,1,1197,0,2000,0,279,1,1153,1,1353,1,1255,1,1560,1,1239,0,2000,1,338,0,1534,1,1968,1,1625,1,1422,1,1323,1,1212,0,2000,0,422,1,1590,1,1430,1,1416,1,1692,1,1404,1,1304,1,1305,1,1311,1,1437,1,1475,1,1443,1,1867,1,1242,1,1261,1,1761,1,1467,7.76197196318557,7.87302165948697,6.18599022844604,7.27366128370619,6.89227679108829,1175.66666666667,1135.83333333333,1713.51028806584,1341.67009602195,1,1,0.818181818181818,0.894736842105263,1175.66666666667,1135.83333333333,1396.60606060606,1295.19298245614,190.743680144721,175.835063900718,416.234604774905,356.068033156009
