"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctl516","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl517","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl518","M","fifth","school4","school4_fifth","control_1","participant",1,1491,1,846,1,810,1,910,1,1014,1,1220,1,1521,1,2488,1,1051,1,1066,1,1360,1,1044,1,1943,1,1044,1,821,1,1149,1,985,1,744,1,1055,1,1083,1,1236,0,2613,1,3430,1,8983,7.67904909911514,0.958333333333333,1621.47826086957
"ctl519","M","fifth","school4","school4_fifth","control_1","participant",1,6877,1,2566,1,3256,1,3795,1,1466,1,1409,1,1893,1,6368,1,1364,1,6690,1,2370,0,5486,0,4440,0,3096,1,7968,0,6330,1,7320,0,4824,1,4906,1,3927,0,7050,1,2801,1,2288,1,2104,3.75,0.75,3853.77777777778
"ctl520","F","fifth","school4","school4_fifth","control_1","participant",1,3176,1,1322,1,1488,1,1741,0,1394,1,2927,1,1474,1,2151,1,1324,1,1756,1,1496,1,1777,1,2570,1,1184,1,2155,1,1440,1,1140,1,1031,1,1042,1,1038,1,1016,1,996,1,1133,1,1476,6.77472440155094,0.958333333333333,1602.30434782609
"ctl521","M","fifth","school4","school4_fifth","control_1","participant",1,1115,1,751,1,835,1,1001,1,942,1,1170,1,1030,1,852,1,883,1,783,1,744,1,874,1,1153,1,777,1,768,1,879,0,835,1,1954,1,1336,1,1663,1,822,1,1090,1,971,1,920,8.09008344053309,0.958333333333333,1013.60869565217
"ctl522","M","fifth","school4","school4_fifth","control_1","participant",1,5142,1,2023,1,1808,1,2577,1,2315,1,2199,1,2977,1,1163,1,1264,1,2856,1,1532,0,1071,1,3001,1,3634,1,1856,1,1201,1,1335,1,1479,1,875,0,2347,1,1086,0,1403,0,925,1,1429,5.54297869650809,0.833333333333333,2087.6
"ctl523","F","fifth","school4","school4_fifth","control_1","participant",1,4911,1,2573,1,2462,1,1616,1,1728,1,1669,1,1471,1,1415,1,1776,1,1476,1,1425,1,1253,1,2204,1,1734,1,1692,1,2195,1,2338,1,1712,1,1232,1,1447,1,1539,1,1169,1,1235,1,1517,6.6810091634426,1,1824.54166666667
"ctl524","M","fifth","school4","school4_fifth","control_1","participant",1,2312,1,3421,1,4139,1,5525,1,1645,1,1719,1,1486,1,1948,1,1655,1,1840,1,1592,1,1270,0,1993,0,1490,1,942,0,895,0,1999,1,1675,1,1737,1,2678,1,1954,1,1392,1,1581,1,1380,5.75658515796251,0.833333333333333,2094.55
"ctl525","M","fifth","school4","school4_fifth","control_1","participant",1,3900,1,7871,1,1812,1,1382,1,1175,1,1160,1,872,1,1270,0,945,1,2436,1,1441,1,1242,1,1816,1,1458,1,1128,1,1504,1,1697,1,1430,1,962,1,1336,1,863,1,1584,0,2167,1,1536,6.64024744694115,0.916666666666667,1812.5
