"id","sex","grade","school","ed_level","attendence","condition2","cond_grade2","time","corsi","hnf","dccs","woodcock","tejas","time_lab","ed_level_c"
"ctlk09","M","kinder","school4",3,0,"control","control_kinder",0,2,4.25461586665904,3.95833333333333,57,33,"pre",2
"ctlk09","M","kinder","school4",3,0,"control","control_kinder",1,1,4.12329392051327,3.54166666666667,44,36,"post",2
"ctlk10","M","kinder","school4",4,0,"control","control_kinder",0,7,5.49182031581988,5.70192257103253,62,63,"pre",3
"ctlk10","M","kinder","school4",4,0,"control","control_kinder",1,7,5.5511352035152,5.51860391000718,67,68,"post",3
"ctlk11","M","kinder","school4",1,0,"control","control_kinder",0,4,2.51262626262626,5.66988372159114,52,43,"pre",0
"ctlk11","M","kinder","school4",1,0,"control","control_kinder",1,5,5.89385220579298,5.78671531212326,60,49,"post",0
"ctlk12","M","kinder","school4",2,0,"control","control_kinder",0,4,3.88625881224798,3.95833333333333,30,25,"pre",1
"ctlk12","M","kinder","school4",2,0,"control","control_kinder",1,4,2.44949494949495,4.99417904090321,58,44,"post",1
"ctlk13","F","kinder","school4",3,0,"control","control_kinder",0,2,1.67929292929293,5.15884706730236,47,41,"pre",2
"ctlk13","F","kinder","school4",3,0,"control","control_kinder",1,2,3.04454887994737,5.15990137416533,47,50,"post",2
"ctlk14","M","kinder","school4",3,0,"control","control_kinder",0,3,4.00795930475291,5.09881670200739,34,52,"pre",2
"ctlk14","M","kinder","school4",3,0,"control","control_kinder",1,1,4.35732201850105,4.51715769363151,61,67,"post",2
"ctlk15","M","kinder","school4",2,0,"control","control_kinder",0,2,1.93181818181818,5.78964598486187,36,38,"pre",1
"ctlk15","M","kinder","school4",2,0,"control","control_kinder",1,3,3.53570247284789,3.54166666666667,56,52,"post",1
"ctlk16","F","kinder","school4",2,0,"control","control_kinder",0,1,4.09914448991094,6.40617418123236,41,32,"pre",1
"ctlk16","F","kinder","school4",2,0,"control","control_kinder",1,6,5.71427945479042,6.57515796426015,46,43,"post",1
"ctlk17","F","kinder","school4",3,0,"control","control_kinder",0,6,5.66883140863417,5.64194524141255,59,52,"pre",2
"ctlk17","F","kinder","school4",3,0,"control","control_kinder",1,7,7.13913469257891,5,62,55,"post",2
"ctlk18","M","kinder","school4",4,0,"control","control_kinder",0,0,4.3942482004854,3.54166666666667,22,20,"pre",3
"ctlk18","M","kinder","school4",4,0,"control","control_kinder",1,0,3.13131313131313,3.95833333333333,29,23,"post",3
"ctl2k01","M","kinder","school5",3,0,"control","control_kinder",0,4,4.26596558963615,6.65779815342709,49,30,"pre",2
"ctl2k01","M","kinder","school5",3,0,"control","control_kinder",1,5,5.54275546708506,5.44750534933967,54,27,"post",2
"ctl2k02","M","kinder","school5",3,0,"control","control_kinder",0,2,3.66283539862364,6.06665260754457,31,30,"pre",2
"ctl2k02","M","kinder","school5",3,0,"control","control_kinder",1,3,4.17606959548484,3.95833333333333,42,28,"post",2
"ctl2k03","F","kinder","school5",1,0,"control","control_kinder",0,4,1.80555555555556,5.79165216105839,28,15,"pre",0
"ctl2k03","F","kinder","school5",1,0,"control","control_kinder",1,3,3.75269072155031,5.99235859662898,30,15,"post",0
"ctl2k04","M","kinder","school5",2,0,"control","control_kinder",0,3,3.92154882100068,3.75,55,48,"pre",1
"ctl2k04","M","kinder","school5",2,0,"control","control_kinder",1,6,5.08076371846054,5.78053146287318,54,59,"post",1
"ctl2k05","M","kinder","school5",3,0,"control","control_kinder",0,1,7.18566714175701,6.5423465173841,61,34,"pre",2
"ctl2k05","M","kinder","school5",3,0,"control","control_kinder",1,2,4.57256713358252,6.52671312561225,48,38,"post",2
"ctl2k06","F","kinder","school5",3,0,"control","control_kinder",0,3,4.27153951022211,6.25932812069719,53,41,"pre",2
"ctl2k06","F","kinder","school5",3,0,"control","control_kinder",1,4,7.32746328948705,6.85116493465107,48,33,"post",2
"ctl2k07","M","kinder","school5",3,0,"control","control_kinder",0,3,4.17272321335609,5.23208316202796,57,44,"pre",2
"ctl2k07","M","kinder","school5",3,0,"control","control_kinder",1,6,4.66767013549878,4.85850382096627,60,50,"post",2
"ctl2k08","F","kinder","school5",3,0,"control","control_kinder",0,0,4.40850983305743,6.30455659059997,28,27,"pre",2
"ctl2k08","F","kinder","school5",3,0,"control","control_kinder",1,4,5.66760187041154,3.75,37,27,"post",2
"ctl2k09","F","kinder","school5",3,0,"control","control_kinder",0,3,5.40046848925774,5.98873781296579,44,33,"pre",2
"ctl2k09","F","kinder","school5",3,0,"control","control_kinder",1,2,6.47444405134543,6.09701575694296,52,35,"post",2
"ctl2k10","M","kinder","school5",2,0,"control","control_kinder",0,0,2.61363636363636,3.75,47,11,"pre",1
"ctl2k10","M","kinder","school5",2,0,"control","control_kinder",1,1,2.15909090909091,5.02456570423579,47,12,"post",1
"ctl2k11","M","kinder","school5",2,0,"control","control_kinder",0,0,3.59970408549233,4.58333333333333,45,4,"pre",1
