"id","sex","grade","school","class_id","condition","eval_pre","eval_post","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence"
"ctl2k07","M","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",74.1333333333333,"3","F","F","F","NA",NA,NA
"ctl2k08","F","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",77.7,"3","F","F","F","NA",NA,NA
"ctl2k09","F","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",71.7,"3","F","F","F","NA",NA,NA
"ctl2k10","M","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",76.3333333333333,"2","F","F","T","sports",90,NA
"ctl2k11","M","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",76.3333333333333,"2","F","F","T","sports",90,NA
"ctl2k12","F","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",71.8,"3","F","F","F","NA",NA,NA
"ctl2k13","F","kinder","school5","school5_kinder","control_2","evaluated",NA,"drop-out",NA,NA,NA,NA,NA,NA,NA,NA
"ctl2k14","F","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",73.9666666666667,"2","F","F","T","church",60,NA
"ctl2k15","M","kinder","school5","school5_kinder","control_2","evaluated","evaluated","participant",76.5333333333333,"2","F","F","F","NA",NA,NA
"dig501","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",138.966666666667,"4","F","F","F","NA",NA,22
"dig502","M","fifth","school2","school2_fifth","digital","evaluated",NA,"drop-out",NA,NA,NA,NA,NA,NA,NA,NA
"dig503","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",139.2,"2","F","F","F","NA",NA,20
"dig504","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",138.333333333333,"2","F","F","T","sports",300,23
"dig505","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",129.766666666667,"3","F","F","F","NA",NA,20
"dig506","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",128.566666666667,"3","F","F","F","NA",NA,17
"dig507","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",133.633333333333,"2","F","F","F","NA",NA,24
"dig508","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",130.233333333333,"2","F","F","F","NA",NA,19
"dig509","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",138.066666666667,"4","F","F","F","NA",NA,24
"dig510","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",136.466666666667,"2","F","F","F","NA",NA,24
"dig511","M","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig512","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",130.7,"2","F","T","F","NA",NA,23
"dig513","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",128.933333333333,"3","F","F","T","sports",180,20
"dig514","F","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",138.5,"3","F","F","F","NA",NA,18
"dig515","M","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig516","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",128.466666666667,"2","F","F","T","sports",120,19
"dig517","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",137.633333333333,"4","F","F","T","sports",180,24
"dig518","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",128.233333333333,"3","F","F","F","NA",NA,21
"dig519","M","fifth","school2","school2_fifth","digital",NA,NA,"rejected",NA,NA,NA,NA,NA,NA,NA,NA
"dig520","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",138.533333333333,"3","F","F","T","sports",120,23
"dig521","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",135.766666666667,"3","F","F","F","NA",NA,23
"dig522","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",138.066666666667,"2","F","F","F","NA",NA,22
"dig523","M","fifth","school2","school2_fifth","digital","evaluated","evaluated","participant",136.9,"2","F","F","T","sports",180,16
