"id","sex","grade","school","class_id","condition","status","hnf_total","score_hearts","time_seconds_hearts","score_flowers","time_seconds_flowers","score_heart_flowers","time_seconds_heart_flowers","total_time","pregunta_7","pregunta_7_time","pregunta_8","pregunta_8_time","pregunta_9","pregunta_9_time","pregunta_10","pregunta_10_time","pregunta_11","pregunta_11_time","pregunta_12","pregunta_12_time","pregunta_13","pregunta_13_time","pregunta_14","pregunta_14_time","pregunta_15","pregunta_15_time","pregunta_16","pregunta_16_time","pregunta_17","pregunta_17_time","pregunta_18","pregunta_18_time","pregunta_25","pregunta_25_time","pregunta_26","pregunta_26_time","pregunta_27","pregunta_27_time","pregunta_28","pregunta_28_time","pregunta_29","pregunta_29_time","pregunta_30","pregunta_30_time","pregunta_31","pregunta_31_time","pregunta_32","pregunta_32_time","pregunta_33","pregunta_33_time","pregunta_34","pregunta_34_time","pregunta_35","pregunta_35_time","pregunta_36","pregunta_36_time","pregunta_37","pregunta_37_time","pregunta_38","pregunta_38_time","pregunta_39","pregunta_39_time","pregunta_40","pregunta_40_time","pregunta_41","pregunta_41_time","pregunta_42","pregunta_42_time","pregunta_43","pregunta_43_time","pregunta_44","pregunta_44_time","pregunta_45","pregunta_45_time","pregunta_46","pregunta_46_time","pregunta_47","pregunta_47_time","pregunta_48","pregunta_48_time","pregunta_49","pregunta_49_time","pregunta_50","pregunta_50_time","pregunta_51","pregunta_51_time","pregunta_52","pregunta_52_time","pregunta_53","pregunta_53_time","pregunta_54","pregunta_54_time","pregunta_55","pregunta_55_time","pregunta_56","pregunta_56_time","pregunta_57","pregunta_57_time","pregunta_58","pregunta_58_time","pregunta_59","pregunta_59_time","pregunta_60","pregunta_60_time","pregunta_61","pregunta_61_time","pregunta_62","pregunta_62_time","pregunta_63","pregunta_63_time","pregunta_64","pregunta_64_time","pregunta_65","pregunta_65_time","pregunta_66","pregunta_66_time","pregunta_67","pregunta_67_time","pregunta_68","pregunta_68_time","pregunta_69","pregunta_69_time","nih_score_hearts","nih_score_flowers","nih_score_mixed","nih_score_overall","nih_score_overall_57","ies_hearts","ies_flowers","ies_mixed","ies_overall","acc_prop_hearts","acc_prop_flowers","acc_prop_mixed","acc_prop_overall","rt_mean_hearts","rt_mean_flowers","rt_mean_mixed","rt_mean_overall","rt_sd_hearts","rt_sd_flowers","rt_sd_mixed","rt_sd_overall"
"ctl511","F","fifth","school4","school4_fifth","control_1","participant",53,12,9962,12,10924,29,41742,62628,1,801,1,736,1,829,1,920,1,889,1,888,1,800,1,771,1,828,1,771,1,835,1,894,1,829,1,938,1,879,1,832,1,858,1,881,1,831,1,957,1,920,1,895,1,1108,1,996,1,1382,1,1154,1,1007,0,2000,1,1339,1,1644,1,1260,1,1489,0,2000,1,496,1,1041,1,1445,1,996,1,1231,1,1094,1,1139,0,1423,1,1177,1,1103,0,1346,1,1185,1,1076,1,1367,1,1322,1,1738,1,1104,1,1459,1,1271,1,1185,1,1167,1,1070,1,1140,1,892,8.59074628286463,8.39720773230396,7.00490218347351,7.9976187328807,7.69539295007976,830.166666666667,910.333333333333,1372.30558858502,1037.60186286167,1,1,0.878787878787879,0.929824561403509,830.166666666667,910.333333333333,1264.90909090909,1098.73684210526,57.6901336031692,81.635924949891,294.867805511678,301.63154713253
"ctl512","F","fifth","school4","school4_fifth","control_1","participant",35,2,11743,5,13376,28,37021,62140,1,1026,0,1079,0,907,0,843,0,964,0,831,0,771,0,867,0,902,0,1154,0,2000,1,399,0,1136,0,2000,0,276,1,1025,1,1145,0,2000,0,1106,0,735,1,1113,1,1100,1,821,0,919,0,2000,0,2000,1,1063,1,857,1,1469,1,1155,1,1037,1,927,1,1082,1,1024,1,932,1,1006,1,934,1,1161,0,2000,0,471,0,2000,1,459,1,912,1,1034,1,1320,1,822,1,962,1,1022,1,911,1,934,1,1072,1,1316,1,966,1,1009,1,1119,1,1066,1,979,0.833333333333333,2.08333333333333,7.26523842377331,3.39396836347999,3.07017543859649,4275,2497.92,1201.72193877551,2658.21397959184,0.166666666666667,0.416666666666667,0.848484848484849,0.614035087719298,978.583333333333,1114.66666666667,1121.84848484848,1090.17543859649,372.853726701439,481.415778215828,382.521741311206,399.791468983118
"ctl513","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl514","M","fifth","school4","school4_fifth","control_1","participant",53,12,8367,12,9259,29,31709,49335,1,973,1,692,1,670,1,665,1,647,1,610,1,657,1,709,1,664,1,701,1,679,1,700,1,803,1,1003,1,911,1,773,1,834,1,762,1,653,1,779,1,642,1,790,1,665,1,644,1,878,1,982,0,976,1,792,1,762,0,663,1,945,1,1025,1,966,1,814,1,897,1,831,1,770,1,887,1,944,1,852,1,1009,1,962,1,692,0,661,1,1052,1,790,1,942,0,2000,1,930,1,945,1,1524,1,1880,1,1063,1,766,1,905,1,742,1,862,9.16461003173994,8.77342793686924,7.73822930710124,8.55875575857014,8.32710770493279,697.25,771.583333333333,1075.50178359096,848.111705641432,1,1,0.878787878787879,0.929824561403509,697.25,771.583333333333,960.878787878788,865.526315789474,91.0565508601411,111.540011845186,296.846631020945,260.273764199981
"ctl515","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl516","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl517","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl518","M","fifth","school4","school4_fifth","control_1","participant",55,12,10489,11,11032,32,35981,57502,1,821,1,824,1,733,1,1040,1,939,1,829,1,969,1,962,1,886,1,830,1,861,1,795,1,1243,1,856,1,825,1,932,1,1031,1,929,1,770,0,800,1,890,1,854,1,960,1,942,1,1344,0,2000,1,1046,1,1092,1,1389,1,1234,1,916,1,1113,1,959,1,1070,1,1124,1,1059,1,1061,1,1115,1,1072,1,983,1,1205,1,1092,1,1085,1,1027,1,1231,1,1045,1,1099,1,1039,1,906,1,959,1,1005,1,1087,1,983,1,801,1,998,1,853,1,989,8.53406643319495,7.85458388054393,7.75161832820449,8.04675621398112,7.93814463458773,874.083333333333,1014.74380165289,1095.0908203125,994.639318432909,1,0.916666666666667,0.96969696969697,0.964912280701754,874.083333333333,919.333333333333,1090.33333333333,1008.80701754386,87.5187858621672,125.853690907941,204.502241226512,195.026137313923
"ctl519","M","fifth","school4","school4_fifth","control_1","participant",51,11,14911,12,11666,27,43989,70566,1,1994,0,1718,1,1292,1,414,1,753,1,857,1,1173,1,1618,1,814,1,1934,1,682,1,1662,1,1271,1,451,1,1460,1,1786,1,1334,1,880,1,1580,1,1403,1,1076,1,1020,1,405,0,400,1,1950,1,1860,1,1360,1,1284,1,1588,1,647,1,1735,1,985,1,1132,1,557,1,1518,1,1912,0,1181,1,1524,1,1555,1,1088,1,1623,0,214,1,1183,1,893,1,1962,1,1740,1,464,1,1518,0,690,1,491,1,1157,1,737,1,1158,1,1664,0,456,1,1910,1,1853,7.20379588738737,6.97988351545905,6.29491611931471,6.82619850738704,6.82450444553989,1308.39669421488,1256.13223140496,1532.20451843044,1365.57781468342,0.916666666666667,1,0.818181818181818,0.894736842105263,1242.58333333333,1088.83333333333,1260.27272727273,1220.45614035088,536.460700642026,472.373856819004,512.669317928677,505.272913178591
"ctl520","F","fifth","school4","school4_fifth","control_1","participant",39,12,9900,12,12268,15,33367,55535,1,860,1,855,1,780,1,792,1,735,1,764,1,752,1,809,1,961,1,885,1,880,1,827,1,1290,1,878,1,934,1,979,1,1031,1,880,1,939,1,1048,1,1160,1,1110,1,961,1,1058,0,2000,0,2000,1,1262,1,1340,0,899,0,783,0,953,1,964,0,772,0,920,1,745,0,2000,1,994,0,800,1,771,0,875,0,884,0,921,1,987,1,755,0,794,1,711,0,759,1,843,1,1040,1,754,0,1048,1,932,1,1008,1,939,0,887,0,976,0,1051,8.62633839353272,8.05181796423891,2.27272727272727,6.3169612101663,3.42105263157895,825,1022.33333333333,2059.93333333333,1302.42222222222,1,1,0.454545454545455,0.684210526315789,825,1022.33333333333,1011.12121212121,974.298245614035,65.8993723242284,121.268547472379,346.852882860277,280.282763148745
"ctl521","M","fifth","school4","school4_fifth","control_1","participant",55,12,12153,11,14598,32,41481,68232,1,756,1,1037,1,1007,1,874,1,907,1,1214,1,855,1,942,1,948,1,1523,1,924,1,1166,1,1019,1,1064,0,1008,1,987,1,995,1,1544,1,892,1,1077,1,1989,1,1771,1,966,1,1286,1,1500,1,1215,1,1209,1,1197,1,1292,1,1046,1,1071,1,1552,1,1170,1,1180,1,1160,1,977,1,956,1,1229,1,1406,1,1653,1,1130,1,1007,1,993,1,1235,1,1622,1,1112,1,1322,1,1038,1,1813,0,1275,1,1306,1,1291,1,1162,1,1192,1,1573,1,1303,1,1294,8.22359853539435,7.47595624268859,7.37767589389751,7.69241022399348,7.4617267623919,1012.75,1347.76859504132,1295.701171875,1218.73992230544,1,0.916666666666667,0.96969696969697,0.964912280701754,1012.75,1216.5,1257,1197.05263157895,205.222329548845,358.188751663396,208.465075012579,260.355349272368
"ctl522","M","fifth","school4","school4_fifth","control_1","participant",30,6,17222,7,14015,17,48334,79571,0,1070,0,1551,1,1830,0,1058,1,1214,1,1087,1,1992,0,1623,1,1827,0,1230,1,1884,0,1856,0,1177,0,1642,0,1528,1,1381,1,1149,0,1670,1,1607,1,1481,1,1354,1,1404,0,1622,0,1817,0,1176,0,1098,0,1831,1,1743,0,1386,1,1532,0,1429,1,1814,0,1506,0,1636,0,1569,0,1532,0,1304,1,1083,1,1679,1,1634,0,1143,1,1672,1,1212,1,1557,1,1401,0,1403,1,1526,1,954,1,1517,1,1384,1,960,1,1080,1,843,1,1972,0,1210,0,782,0,1949,2.5,2.5,2.72727272727273,2.57575757575758,2.63157894736842,3278,2792,2603.63888888889,2891.21296296296,0.5,0.583333333333333,0.515151515151515,0.526315789473684,1518.5,1486,1409.60606060606,1448.61403508772,363.222571385144,201.562532593373,309.659686126756,301.549140415311
"ctl523","F","fifth","school4","school4_fifth","control_1","participant",53,12,12376,8,15310,33,42280,69966,1,942,1,1229,1,1214,1,1319,1,886,1,1072,1,1022,1,885,1,998,1,935,1,931,1,943,0,2000,1,1080,1,1399,1,1113,1,1305,1,998,1,1059,0,1058,0,994,0,2000,1,1064,1,1240,1,1904,1,1185,1,1110,1,1272,1,1229,1,1729,1,1609,1,1313,1,1129,1,1226,1,1391,1,1505,1,1138,1,867,1,1191,1,1707,1,1153,1,1257,1,1458,1,1278,1,1194,1,1296,1,1179,1,890,1,1162,1,1507,1,1440,1,1151,1,1191,1,970,1,1190,1,1304,1,1155,8.14929594184703,3.33333333333333,7.49714168258204,6.32659031925414,7.22943282469822,1031.33333333333,1735.875,1281.21212121212,1349.47348484848,1,0.666666666666667,1,0.929824561403509,1031.33333333333,1275.83333333333,1281.21212121212,1227.47368421053,146.383266140842,360.172643788133,228.090546381223,264.321915829864
"ctl524","M","fifth","school4","school4_fifth","control_1","participant",33,10,15212,10,15288,13,51743,82243,1,890,1,1101,1,910,1,936,1,1155,1,1048,0,2000,1,1319,1,1048,0,2000,1,1228,1,1577,1,1555,1,1336,1,1135,1,1630,0,2000,0,206,1,1359,1,1259,1,1210,1,1283,1,1050,1,1265,0,2000,0,971,0,2000,0,1342,1,1066,1,1035,1,1137,0,2000,1,1161,0,1661,0,1778,0,2000,0,2000,1,1462,0,2000,1,1664,1,1417,1,1648,0,1514,0,1266,1,1312,0,947,1,1480,0,1475,0,2000,1,1687,1,1803,0,1714,0,1296,0,1298,1,1609,0,2000,0,2000,7.03188621538779,6.55663793855598,1.96969696969697,5.18607370788025,2.89473684210526,1345.44,1569.84,3608.71597633136,2174.66532544379,0.833333333333333,0.833333333333333,0.393939393939394,0.578947368421053,1267.66666666667,1274,1567.9696969697,1442.85964912281,391.971551224954,421.948510430533,348.118288521345,395.363189205123
"ctl525","M","fifth","school4","school4_fifth","control_1","participant",56,12,10184,12,11727,32,40922,62833,1,750,1,755,1,723,1,691,1,704,1,899,1,869,1,787,1,863,1,1133,1,1049,1,961,1,1516,1,826,1,1032,1,998,1,1210,1,890,1,795,1,853,1,856,1,845,1,1065,1,841,1,1610,1,852,1,984,1,1315,1,1140,1,1324,1,1259,1,1093,1,1214,1,1159,1,1039,1,1111,1,1116,1,1324,1,1368,1,1497,1,1179,0,2000,1,969,1,1092,1,1014,1,1050,1,1243,1,1642,1,1321,1,1287,1,1287,1,1661,1,1085,1,1152,1,1033,1,1296,1,1206,8.6025599515089,8.44474811773278,7.42293850906804,8.15674885943657,7.77620201684765,848.666666666667,977.25,1254.322265625,1026.74631076389,1,1,0.96969696969697,0.982456140350877,848.666666666667,977.25,1240.06060606061,1102.33333333333,141.627124606279,210.075798008935,234.478135893565,268.970679053454
