"id","sex","grade","school","class_id","condition","status","age_mths","ed_level","esp_fl","foreign_born","activity","name","time","attendence","total_points_pre","fwd_att_pre","bwd_att_pre","total_points_post","fwd_att_post","bwd_att_post","nih_score_overall_pre","nih_score_hearts_pre","nih_score_flowers_pre","nih_score_mixed_pre","nih_score_overall_57_pre","ies_hearts_pre","ies_flowers_pre","ies_mixed_pre","ies_overall_pre","hnf_total_pre","score_hearts_pre","score_flowers_pre","score_heart_flowers_pre","time_seconds_hearts_pre","time_seconds_flowers_pre","time_seconds_heart_flowers_pre","total_time_pre","acc_prop_hearts_pre","acc_prop_flowers_pre","acc_prop_mixed_pre","acc_prop_overall_pre","rt_mean_hearts_pre","rt_mean_flowers_pre","rt_mean_mixed_pre","rt_mean_overall_pre","rt_sd_hearts_pre","rt_sd_flowers_pre","rt_sd_mixed_pre","rt_sd_overall_pre","nih_score_overall_post","nih_score_hearts_post","nih_score_flowers_post","nih_score_mixed_post","nih_score_overall_57_post","ies_hearts_post","ies_flowers_post","ies_mixed_post","ies_overall_post","hnf_total_post","score_hearts_post","score_flowers_post","score_heart_flowers_post","time_seconds_hearts_post","time_seconds_flowers_post","time_seconds_heart_flowers_post","total_time_post","acc_prop_hearts_post","acc_prop_flowers_post","acc_prop_mixed_post","acc_prop_overall_post","rt_mean_hearts_post","rt_mean_flowers_post","rt_mean_mixed_post","rt_mean_overall_post","rt_sd_hearts_post","rt_sd_flowers_post","rt_sd_mixed_post","rt_sd_overall_post","dccs_tv_score_pre","dccs_mean_acc_pre","dccs_mean_rt_pre","dccs_tv_score_post","dccs_mean_acc_post","dccs_mean_rt_post","precalc_puntaje_total_pre","precalc_puntaje_ambito_1_pre","precalc_puntaje_ambito_2_pre","precalc_puntaje_ambito_3_pre","precalc_puntaje_total_post","precalc_puntaje_ambito_1_post","precalc_puntaje_ambito_2_post","precalc_puntaje_ambito_3_post","tejas_puntaje_total_pre","tejas_puntaje_ambito_1_pre","tejas_puntaje_ambito_2_pre","tejas_puntaje_ambito_3_pre","tejas_puntaje_ambito_4_pre","tejas_puntaje_ambito_5_pre","tejas_puntaje_ambito_6_pre","tejas_puntaje_ambito_7_pre","tejas_puntaje_ambito_letra_pre","tejas_puntaje_total_post","tejas_puntaje_ambito_1_post","tejas_puntaje_ambito_2_post","tejas_puntaje_ambito_3_post","tejas_puntaje_ambito_4_post","tejas_puntaje_ambito_5_post","tejas_puntaje_ambito_6_post","tejas_puntaje_ambito_7_post","tejas_puntaje_ambito_letra_post","gain_corsi","gain_hnf_overall","gain_hnf_hearts","gain_hnf_flowers","gain_hnf_mixed","gain_hnf_57","gain_hnf_ies","gain_dccs","gain_precalc","gain_tejas"
"digk03","F","kinder","school2","school2_kinder","digital","atypical",72.4,"2",FALSE,FALSE,FALSE,NA,NA,14,0,3,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.997474747474748,0.833333333333333,1.25,0.909090909090909,0.964912280701754,8673,3088,8011.66666666667,6590.88888888889,11,2,3,6,22891,17223,60468,100582,0.166666666666667,0.25,0.181818181818182,0.192982456140351,1907.58333333333,1435.25,1832.36363636364,1764.59649122807,218.289823330583,775.386604452022,405.411428226146,501.704482583733,5,1,5994.38095238095,3.54166666666667,0.708333333333333,4027.47058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,-1.45833333333333,NA,NA
"digk21","M","kinder","school2","school2_kinder","digital","atypical",77.5666666666667,"2",FALSE,FALSE,FALSE,NA,NA,11,0,3,0,2,1,0,1.64141414141414,1.25,1.25,2.42424242424242,1.92982456140351,5706.66666666667,4402.66666666667,2397.78515625,4169.03949652778,14,3,3,8,14527,12733,37345,64605,0.25,0.25,0.242424242424242,0.245614035087719,1210.58333333333,1061.08333333333,1131.66666666667,1133.42105263158,409.879241270209,536.174065754657,352.992002978349,403.820369691084,0.441919191919192,0.416666666666667,0,0.909090909090909,0.614035087719298,17628,NA,7158.25,NA,7,1,0,6,20176,24000,61809,105985,0.0833333333333333,0,0.181818181818182,0.12280701754386,1681.33333333333,2000,1873,1859.38596491228,530.168126563869,0,349.799674814028,369.149396508183,1.66666666666667,0.333333333333333,3093.83333333333,2.70833333333333,0.541666666666667,3695.23076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-1.19949494949495,-0.833333333333333,-1.25,-1.51515151515152,-1.31578947368421,NA,1.04166666666667,NA,NA
"mixk17","M","kinder","school3","school3_kinder","mixed","atypical",69.3,"2",TRUE,FALSE,TRUE,"sports",60,21,0,3,0,2,3,0,2.04545454545455,1.25,2.91666666666667,1.96969696969697,2.01754385964912,6901.33333333333,2226.61224489796,3053.37869822485,4060.44142548538,23,3,7,13,20935,15821,46661,83417,0.25,0.583333333333333,0.393939393939394,0.403508771929825,1744.58333333333,1318.41666666667,1413.9696969697,1463.45614035088,499.844059015743,531.163467105823,515.222614801631,528.271205719165,5.78920251060338,7.48383545676865,7.30801449928392,2.57575757575758,3.42105263157895,1322.28099173554,1368.09917355372,2768.9169550173,1819.76570676885,39,11,11,17,15333,15454,47596,78383,0.916666666666667,0.916666666666667,0.515151515151515,0.684210526315789,1277.75,1287.83333333333,1442.30303030303,1375.14035087719,425.696034320692,368.359467055887,504.497738154524,462.614558730997,5.494304713185,1,3166.25,5.61313025282773,0.875,2232.38095238095,6,3,0,3,29,4,15,10,9,1,4,1,1,0,0,2,1,18,8,3,1,3,0,0,3,1,2,3.74374796514884,6.23383545676865,4.39134783261726,0.606060606060606,1.40350877192982,-2240.67571871653,0.118825539642734,23,9
"mixk18","M","kinder","school3","school3_kinder","mixed","atypical",69.3,"2",TRUE,FALSE,TRUE,"sports",60,23,0,3,0,1,3,0,5.33735695726491,7.31114599674364,5.97365214777835,2.72727272727273,3.50877192982456,1303.66666666667,1874.52,2753.66666666667,1977.28444444444,40,12,10,18,15644,18584,49405,83633,1,0.833333333333333,0.545454545454545,0.701754385964912,1303.66666666667,1548.66666666667,1497.12121212121,1467.24561403509,178.381783279741,227.57030215791,522.908259017282,424.677452423002,4.12770039210804,7.38310117632411,3.33333333333333,1.66666666666667,2.63157894736842,1151.50413223141,2387.8125,3829.8,2456.3722107438,30,11,8,11,13611,20735,46028,80374,0.916666666666667,0.666666666666667,0.333333333333333,0.526315789473684,1134.25,1727.91666666667,1394.78787878788,1410.0701754386,521.87618263339,335.711580305945,634.882506727414,586.560764713899,4.58333333333333,0.916666666666667,4779.27272727273,4.80088915711614,0.916666666666667,3033.09090909091,26,3,16,7,22,3,11,8,7,2,1,1,2,0,0,1,1,16,4,3,3,5,0,0,1,3,1,-1.20965656515687,0.0719551795804678,-2.64031881444501,-1.06060606060606,-0.87719298245614,479.087766299357,0.217555823782811,-4,9
"mixk20","M","kinder","school3","school3_kinder","mixed","atypical",70.8666666666667,"1",TRUE,TRUE,TRUE,"sports",60,14,0,3,0,0,3,0,4.0712158332303,3.75,5.88788992393331,2.57575757575758,3.15789473684211,1773.92592592593,1912.68,2734.43252595156,2140.34615062583,36,9,10,17,15986,19939,48549,84474,0.75,0.833333333333333,0.515151515151515,0.631578947368421,1332.16666666667,1661.58333333333,1471.18181818182,1482,604.897712364861,403.549807297311,631.330809409054,586.013621245884,1.80555555555556,3.75,0,1.66666666666667,1.75438596491228,2089.48148148148,NA,3387.54545454545,NA,20,9,0,11,20104,20085,47658,87847,0.75,0,0.333333333333333,0.350877192982456,1675.33333333333,1673.75,1444.18181818182,1541.17543859649,489.438329912849,525.255284253632,643.875301132984,592.718227527303,2.70833333333333,0.541666666666667,7009.38461538462,5.5909006513469,1,2888.625,NA,NA,NA,NA,13,12,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.26566027767474,0,-5.88788992393331,-0.909090909090909,-1.40350877192982,NA,2.88256731801357,NA,NA
"pprk01","M","kinder","school1","school1_kinder","paper","atypical",75.9,"2",FALSE,FALSE,TRUE,"ST",120,10,0,3,0,0,3,0,1.46464646464646,2.91666666666667,0.416666666666667,1.06060606060606,1.31578947368421,2372.57142857143,15924,5915.75510204082,8070.77551020408,15,7,1,7,18848,20659,54728,94235,0.583333333333333,0.0833333333333333,0.212121212121212,0.263157894736842,1570.66666666667,1721.58333333333,1658.42424242424,1653.24561403509,501.620162950801,366.489602564491,544.497017341637,497.697063652097,1.54040404040404,2.08333333333333,0.416666666666667,2.12121212121212,1.75438596491228,3734.4,4200,3055.21978021978,3663.20659340659,20,5,1,14,18327,19141,44659,82127,0.416666666666667,0.0833333333333333,0.424242424242424,0.350877192982456,1527.25,1595.08333333333,1353.30303030303,1440.82456140351,639.801265308931,598.423908481625,574.744154213882,592.220009878297,3.54166666666667,0.708333333333333,2421.11764705882,3.125,0.625,2929.14285714286,15,15,0,0,22,17,0,5,27,9,0,5,6,1,2,4,6,26,0,2,14,0,10,0,0,24,0,0.0757575757575757,-0.833333333333333,0,1.06060606060606,0.43859649122807,-4407.56891679749,-0.416666666666667,7,-1
