id,sex,grade,school,class_id,condition,status,age_mths,ed_level,esp_fl,foreign_born,activity,name,time,attendence,total_points_pre,fwd_att_pre,bwd_att_pre,total_points_post,fwd_att_post,bwd_att_post,nih_score_overall_pre,nih_score_hearts_pre,nih_score_flowers_pre,nih_score_mixed_pre,nih_score_overall_57_pre,ies_hearts_pre,ies_flowers_pre,ies_mixed_pre,ies_overall_pre,hnf_total_pre,score_hearts_pre,score_flowers_pre,score_heart_flowers_pre,time_seconds_hearts_pre,time_seconds_flowers_pre,time_seconds_heart_flowers_pre,total_time_pre,acc_prop_hearts_pre,acc_prop_flowers_pre,acc_prop_mixed_pre,acc_prop_overall_pre,rt_mean_hearts_pre,rt_mean_flowers_pre,rt_mean_mixed_pre,rt_mean_overall_pre,rt_sd_hearts_pre,rt_sd_flowers_pre,rt_sd_mixed_pre,rt_sd_overall_pre,nih_score_overall_post,nih_score_hearts_post,nih_score_flowers_post,nih_score_mixed_post,nih_score_overall_57_post,ies_hearts_post,ies_flowers_post,ies_mixed_post,ies_overall_post,hnf_total_post,score_hearts_post,score_flowers_post,score_heart_flowers_post,time_seconds_hearts_post,time_seconds_flowers_post,time_seconds_heart_flowers_post,total_time_post,acc_prop_hearts_post,acc_prop_flowers_post,acc_prop_mixed_post,acc_prop_overall_post,rt_mean_hearts_post,rt_mean_flowers_post,rt_mean_mixed_post,rt_mean_overall_post,rt_sd_hearts_post,rt_sd_flowers_post,rt_sd_mixed_post,rt_sd_overall_post,dccs_tv_score_pre,dccs_mean_acc_pre,dccs_mean_rt_pre,dccs_tv_score_post,dccs_mean_acc_post,dccs_mean_rt_post,precalc_puntaje_total_pre,precalc_puntaje_ambito_1_pre,precalc_puntaje_ambito_2_pre,precalc_puntaje_ambito_3_pre,precalc_puntaje_total_post,precalc_puntaje_ambito_1_post,precalc_puntaje_ambito_2_post,precalc_puntaje_ambito_3_post,tejas_puntaje_total_pre,tejas_puntaje_ambito_1_pre,tejas_puntaje_ambito_2_pre,tejas_puntaje_ambito_3_pre,tejas_puntaje_ambito_4_pre,tejas_puntaje_ambito_5_pre,tejas_puntaje_ambito_6_pre,tejas_puntaje_ambito_7_pre,tejas_puntaje_ambito_letra_pre,tejas_puntaje_total_post,tejas_puntaje_ambito_1_post,tejas_puntaje_ambito_2_post,tejas_puntaje_ambito_3_post,tejas_puntaje_ambito_4_post,tejas_puntaje_ambito_5_post,tejas_puntaje_ambito_6_post,tejas_puntaje_ambito_7_post,tejas_puntaje_ambito_letra_post,gain_corsi,gain_hnf_overall,gain_hnf_hearts,gain_hnf_flowers,gain_hnf_mixed,gain_hnf_57,gain_hnf_ies,gain_dccs,gain_precalc,gain_tejas
ctl511,F,fifth,school4,school4_fifth,control_1,participant,141.3666667,3,F,F,F,NA,NA,NA,6,1,0,8,1,0,7.989580479,8.105871941,8.540675206,7.322194288,7.66111624,903.5702479,985.8333333,1267.563996,1052.322526,54,11,12,31,9475,11830,39245,60550,0.916666667,1,0.939393939,0.947368421,789.5833333,985.8333333,1189.242424,1062.280702,150.3157031,310.8076966,274.7795742,305.360253,7.997618733,8.590746283,8.397207732,7.004902183,7.69539295,830.1666667,910.3333333,1372.305589,1037.601863,53,12,12,29,9962,10924,41742,62628,1,1,0.878787879,0.929824561,830.1666667,910.3333333,1264.909091,1098.736842,57.6901336,81.63592495,294.8678055,301.6315471,6.910495558,0.916666667,1672.772727,7.23694203,0.958333333,1324.304348,69,17,21,31,70,17,21,32,66,13,9,15,6,12,6,5,27,68,17,9,15,4,12,6,5,27,2,0.008038254,0.484874341,-0.143467474,-0.317292105,0.03427671,-14.72066284,0.326446472,1,2
ctl512,F,fifth,school4,school4_fifth,control_1,participant,137.4333333,3,F,F,F,NA,NA,NA,6,1,0,2,1,0,5.166502838,8.643447908,2.916666667,3.939393939,3.947368421,833.3333333,2204.816327,1598.986686,1545.712115,45,12,7,26,10000,16851,44680,71531,1,0.583333333,0.787878788,0.789473684,833.3333333,1404.25,1353.939394,1254.929825,103.6579457,475.6159881,359.691008,411.2388018,3.393968363,0.833333333,2.083333333,7.265238424,3.070175439,4275,2497.92,1201.721939,2658.21398,35,2,5,28,11743,13376,37021,62140,0.166666667,0.416666667,0.848484848,0.614035088,978.5833333,1114.666667,1121.848485,1090.175439,372.8537267,481.4157782,382.5217413,399.791469,7.173039162,0.916666667,1272.428571,6.626672805,0.916666667,1752.363636,61,17,20,24,62,17,18,27,60,13,8,15,3,12,5,4,27,69,17,10,15,6,12,6,3,27,-4,-1.772534475,-7.810114575,-0.833333333,3.325844484,-0.877192982,1112.501864,-0.546366357,1,9
ctl513,F,fifth,school4,school4_fifth,control_1,rejected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctl514,M,fifth,school4,school4_fifth,control_1,participant,134.1666667,1,F,F,T,sports,150,NA,6,1,0,6,1,0,8.446129664,8.620572581,8.704171075,8.013645335,8.179992426,787.6363636,863.9166667,1019.669095,890.407375,54,11,12,31,8668,10367,31196,50231,0.916666667,1,0.939393939,0.947368421,722.3333333,863.9166667,945.3333333,881.245614,95.76138274,162.9854753,174.2684113,179.6366651,8.558755759,9.164610032,8.773427937,7.738229307,8.327107705,697.25,771.5833333,1075.501784,848.1117056,53,12,12,29,8367,9259,31709,49335,1,1,0.878787879,0.929824561,697.25,771.5833333,960.8787879,865.5263158,91.05655086,111.5400118,296.846631,260.2737642,7.204635704,0.833333333,1144.2,7.002608661,0.875,1321.190476,63,17,20,26,65,17,21,27,67,16,8,15,6,11,6,5,26,67,17,9,15,5,12,5,4,27,0,0.112626095,0.544037451,0.069256862,-0.275416028,0.147115279,-42.29566936,-0.202027043,2,0
ctl515,M,fifth,school4,school4_fifth,control_1,rejected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctl516,F,fifth,school4,school4_fifth,control_1,rejected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctl517,M,fifth,school4,school4_fifth,control_1,rejected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ctl518,M,fifth,school4,school4_fifth,control_1,participant,130.4333333,3,F,F,T,sports,120,NA,9,1,3,17,1,2,8.323861995,8.809622389,8.405075099,7.756888496,8.031547342,823.5,940.6666667,1113.137695,959.101454,56,12,12,32,9882,11288,35382,56552,1,1,0.96969697,0.98245614,823.5,940.6666667,1072.181818,992.1403509,144.9673945,129.8532972,194.1723549,198.5497813,8.046756214,8.534066433,7.854583881,7.751618328,7.938144635,874.0833333,1014.743802,1095.09082,994.6393184,55,12,11,32,10489,11032,35981,57502,1,0.916666667,0.96969697,0.964912281,874.0833333,919.3333333,1090.333333,1008.807018,87.51878586,125.8536909,204.5022412,195.0261373,7.679049099,0.958333333,1621.478261,8.042116503,1,1198.625,70,17,21,32,65,17,21,27,65,15,9,15,5,11,6,4,26,70,17,10,15,6,12,6,4,27,8,-0.277105781,-0.275555956,-0.550491218,-0.005270168,-0.093402708,35.53786444,0.363067404,-5,5
ctl519,M,fifth,school4,school4_fifth,control_1,participant,139.0666667,3,F,F,F,NA,NA,NA,6,2,0,6,1,0,7.67607531,8.290844033,8.082529714,6.654852181,7.350615121,967.5833333,1049,1526.148148,1180.910494,51,12,12,27,11611,12588,43337,67536,1,1,0.818181818,0.894736842,967.5833333,1049,1313.242424,1184.842105,191.5807251,210.9286825,316.2525722,311.263255,6.826198507,7.203795887,6.979883515,6.294916119,6.824504446,1308.396694,1256.132231,1532.204518,1365.577815,51,11,12,27,14911,11666,43989,70566,0.916666667,1,0.818181818,0.894736842,1242.583333,1088.833333,1260.272727,1220.45614,536.4607006,472.3738568,512.6693179,505.2729132,3.75,0.75,3853.777778,6.382411602,1,2127.75,66,17,21,28,66,17,21,28,70,16,10,15,6,12,6,5,27,69,17,10,15,6,12,6,3,27,0,-0.849876802,-1.087048146,-1.102646199,-0.359936062,-0.526110675,184.6673209,2.632411602,0,-1
ctl520,F,fifth,school4,school4_fifth,control_1,participant,136.1,3,F,F,F,NA,NA,NA,6,1,0,5,1,0,7.273661284,7.761971963,7.873021659,6.185990228,6.892276791,1175.666667,1135.833333,1713.510288,1341.670096,51,12,12,27,14108,13630,46088,73826,1,1,0.818181818,0.894736842,1175.666667,1135.833333,1396.606061,1295.192982,190.7436801,175.8350639,416.2346048,356.0680332,6.31696121,8.626338394,8.051817964,2.272727273,3.421052632,825,1022.333333,2059.933333,1302.422222,39,12,12,15,9900,12268,33367,55535,1,1,0.454545455,0.684210526,825,1022.333333,1011.121212,974.2982456,65.89937232,121.2685475,346.8528829,280.2827631,6.774724402,0.958333333,1602.304348,7.95628848,1,1076.458333,65,17,18,30,70,17,21,32,71,17,10,15,6,12,6,5,27,70,17,10,15,6,12,6,4,27,-1,-0.956700074,0.86436643,0.178796305,-3.913262956,-3.47122416,-39.2478738,1.181564078,5,-1
