"id","sex","grade","school","class_id","condition","status","respuesta_pregunta_1","tiempo_pregunta_1","respuesta_pregunta_2","tiempo_pregunta_2","respuesta_pregunta_3","tiempo_pregunta_3","respuesta_pregunta_4","tiempo_pregunta_4","respuesta_pregunta_5","tiempo_pregunta_5","respuesta_pregunta_6","tiempo_pregunta_6","respuesta_pregunta_7","tiempo_pregunta_7","respuesta_pregunta_8","tiempo_pregunta_8","respuesta_pregunta_9","tiempo_pregunta_9","respuesta_pregunta_10","tiempo_pregunta_10","respuesta_pregunta_11","tiempo_pregunta_11","respuesta_pregunta_12","tiempo_pregunta_12","respuesta_pregunta_13","tiempo_pregunta_13","respuesta_pregunta_14","tiempo_pregunta_14","respuesta_pregunta_15","tiempo_pregunta_15","respuesta_pregunta_16","tiempo_pregunta_16","respuesta_pregunta_17","tiempo_pregunta_17","respuesta_pregunta_18","tiempo_pregunta_18","respuesta_pregunta_19","tiempo_pregunta_19","respuesta_pregunta_20","tiempo_pregunta_20","respuesta_pregunta_21","tiempo_pregunta_21","respuesta_pregunta_22","tiempo_pregunta_22","respuesta_pregunta_23","tiempo_pregunta_23","respuesta_pregunta_24","tiempo_pregunta_24","dccs_tv_score","dccs_mean_acc","dccs_mean_rt"
"ctl516","F","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl517","M","fifth","school4","school4_fifth","control_1","rejected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ctl518","M","fifth","school4","school4_fifth","control_1","participant",1,1817,1,1037,1,1753,1,1062,1,945,1,836,1,2326,1,1847,1,2104,1,1047,1,1815,1,777,1,1112,1,833,1,1932,1,777,1,769,1,766,1,735,1,672,1,869,1,872,1,980,1,1084,8.04211650329843,1,1198.625
"ctl519","M","fifth","school4","school4_fifth","control_1","participant",1,4004,1,1967,1,1787,1,1820,1,2320,1,1684,1,1083,1,1270,1,1166,1,1417,1,1316,1,1552,1,3583,1,2366,1,2286,1,2472,1,3029,1,3274,1,1666,1,3722,1,2323,1,1420,1,1703,1,1836,6.382411601959,1,2127.75
"ctl520","F","fifth","school4","school4_fifth","control_1","participant",1,1517,1,1039,1,924,1,1041,1,710,1,976,1,1382,1,1228,1,861,1,1171,1,1295,1,776,1,1516,1,1005,1,894,1,717,1,1123,1,1009,1,910,1,700,1,1347,1,1380,1,1248,1,1066,7.95628847986847,1,1076.45833333333
"ctl521","M","fifth","school4","school4_fifth","control_1","participant",1,2531,1,1507,1,2647,1,1858,1,2114,1,1490,1,1679,1,1722,1,1863,1,1735,1,1249,1,990,1,1668,1,1671,1,1448,1,1854,1,1211,1,1254,1,1641,1,1426,1,1248,1,1418,1,1320,1,1239,6.7998848331768,1,1615.95833333333
"ctl522","M","fifth","school4","school4_fifth","control_1","participant",1,3205,1,3251,1,2086,1,1721,1,1986,1,1887,1,1522,1,1246,1,1235,1,1702,1,1216,1,1435,1,3773,1,1776,1,2237,1,2384,1,1536,1,1619,1,2037,1,1250,1,1337,1,1267,1,1203,1,1682,6.59815264637841,1,1858.04166666667
"ctl523","F","fifth","school4","school4_fifth","control_1","participant",1,3878,1,1108,1,1375,1,1345,1,823,1,881,1,834,1,1109,1,978,1,1045,1,1461,1,962,1,1563,1,1159,1,685,1,780,1,694,1,796,1,1098,1,795,1,836,1,1119,0,861,1,2335,7.73457117300001,0.958333333333333,1202.5652173913
"ctl524","M","fifth","school4","school4_fifth","control_1","participant",1,3169,1,1173,1,1023,1,985,1,848,1,723,1,2493,1,1326,1,2776,1,1928,1,2191,1,1404,0,1882,0,1814,0,1285,1,1291,0,1066,0,884,1,1699,0,1382,1,3680,1,3467,1,1277,1,791,3.75,0.75,1791.33333333333
"ctl525","M","fifth","school4","school4_fifth","control_1","participant",1,2591,1,1447,1,3518,1,2545,1,5153,1,1007,1,1420,1,1522,1,3328,1,1078,1,1796,1,990,1,3270,0,2508,1,2990,1,4558,1,779,1,1123,1,1067,1,858,1,1198,1,2650,1,2353,1,1087,6.68529982692833,0.958333333333333,2101.21739130435
